Numb;Type;Lat;Long;Title;Subtitle;Address;ZIP;City;Country;Info;Itinerary;SourceName;Source;Image;Artist;SongTitle;Lyrics;MediaType;MediaURI;ID;
17;W;51,531417;-0,126128;"Coldplay Video: ""Fix You""";St. Pancras Station;Euston Road;N1C 4QP;London;United Kingdom;"The music video for ""Fix You"" was directed by Sophie Muller, who already had worked with the band for their 2002 video ""In My Place"". It was filmed at the end of two concerts on 4 and 5 July 2005 at the Reebok Stadium in Bolton, England, which were the band's first ever stadium performances. In the first half of the video the band's lead singer, Chris Martin, wanders the streets of London starting at Tooley Street under London Bridge Station, while the slogan ""Make Trade Fair"" is projected onto the Royal National Theatre, using the same ITA2 colour scheme on the cover of X&Y. The tunnels that Martin is seen wandering within are located both in and around London St Pancras and King's Cross railway stations, and the filming for the video took place during the time of the redevelopment and expansion of London St Pancras International. Martin is then seen walking across Waterloo Bridge, which crosses the River Thames, connecting the Southbank with The Strand. As soon as the electric guitar kicks in, Martin's walk turns into a run as he darts through streets of London, until very quickly reaching the side of the stage at the Reebok Stadium in Bolton, where he joins the rest of the band for the song's finale. The audience sings along with the song's final refrain, and at the end of the video Martin thanks them for their support and wishes them goodnight.";-;-;-;no;Coldplay;Fix you;   ;-;-;002s120817;
18;P;51,512639;-0,154663;The Beatle's First Flat;57 Green Street;57 Green Street;W1K 6RH;London;United Kingdom;This small flat was the first and only place where The Fab Four lived all together.;1;-;http://bellcurveoflife.blogspot.it/2011/07/beatles-in-london-57-green-street.html;no;The Beatles;   ;   ;-;-;002g120817;
19;W;51,516462;-0,152562;Former EMI Records;Manchester Square;Manchester Square;W1U;London;United Kingdom;The cover photograph for Please Please Me, the first LP by The Beatles, was taken by Angus McBean in 1963. It showed the group looking down over the stairwell inside EMI House in Manchester Square, EMI's London headquarters at the time (now demolished). A repeat photo was taken in 1969 for the cover of their then-intended Get Back album. It was not used when the project saw release as Let It Be, but was eventually used on the retrospective albums 1962-1966 and 1967-1970.House in Manchester Square, EMI's London headquarters at the time (now demolished). A repeat photo was taken in 1969 for the cover of their then-intended Get Back album. It was not used when the project saw release as Let It Be, but was eventually used on the retrospective albums 1962-1966 and 1967-1970.;1;-;http://www.nme.com/photos/the-beatles-album-artwork-secrets-each-sleeve-s-story-revealed-1429019;no;The Beatles;Please Please Me; ;-;-;003g120817;
20;W;51,519229;-0,149016;I Want To Hold Your Hand Genesis;The Asher Family House;57 Wimpole Street;W1G 8YW;London;United Kingdom;Sir Paul McCartney stayed at 57 Wimpole Street, for almost three years, from 1963 to 1966. It was actually the family home of his 18 year old girlfriend, actress Jane Asher. While living here Paul, with John Lennon, wrote many of the Beatles' most famous songs including their first American number one “I Want To Hold Your Hand” which was written in the basement and actually Jane's mother's music room. Mega hit “Yesterday” was also apparently written there on the family piano. Paul also wrote a few songs for Jane's brother's band Peter And Gordon including their only hit “World Without Love”. ;1;-;https://en.wikipedia.org/wiki/Wimpole_Street;no;The Beatles;I Want To Hold Your Hand; ;-;-;004g120817;
21;W;51,5305;-0,129139;Carly Simon Anticipation Album cover;Regents Park;Regents Park;NW1 4NR;London;United Kingdom;Anticipation is singer-songwriter Carly Simon's second studio album, released in 1971. The album cover artwork is a photo of Simon taken at the gates of Queen Mary's Garden in London's Regent's Park.;-;-;https://en.wikipedia.org/wiki/Anticipation_(Carly_Simon_album);no;Carly Simon; ; ;-;-;005g120817;
22;P;51,515165;-0,129255;Sex Pistols' Denmark Street Home;6 Denmark Street;6 Denmark Street;WC2H 8LX;London;United Kingdom;"These buildings acted as a home and studio to the Sex Pistols. Early demos of Anarchy in the UK and God Save the Queen were recorded at this address on the so-called ""Tin Pan Alley"" - 6 and 7 Denmark Street. On the walls are covered in singer John Lydon's graffiti.";4;-;https://historicengland.org.uk/listing/the-list/list-entry/1271976;no;Sex Pistols;Anarchy In The UK; ;-;-;001g090917;
23;R;51,515249;-0,129139;Former Regent Sound Studios;Alleycat Bar & Club;4 Denmark Street;WC2H 8LP;London;United Kingdom;The Alleycat sits in the basement of the fabled Regent Sound Studios which was set up at 4 Denmark Street in the 1960s. With the Rolling Stones recording their first album here, The Kinks recording the demo of 'You Really Got Me', Black Sabbath recording 'Paranoid' as well as many other seminal moments of music history, the studio took off as the place to be seen to be making music.;2;-;http://www.alleycatbar.co.uk/;no;The Rolling Stones; ; ;-;-;002g090917;
24;P;51,515166;-0,12951;La Gioconda Coffee Bar;La Gioconda Coffee Bar;9 Denmark Street;WC2H 8LS;London;United Kingdom;La Gioconda was a cafe in Denmark Street at number 9 Denmark Street, where a lot of musicians such as David Bowie, Ray Davies, Rod Stewart and Sir Elton John used to eat and hang out;-;-;"Glinert, Ed (2012). ""Denmark Street. The London Compendium""";no;David Bowie; ; ;-;-;003g090917;
25;V;51,515038;-0,13051;The Borderline;Borderline;Orange Yard, Manette St;W1D 4JB;London;United Kingdom;The Borderline says: The legendary intimate basement space that is The Borderline has hosted an array of incredible artists on its humble stage over the last 30 years. R.E.M, Muse, Blur, Rage Against The Machine, Amy Winehouse, PJ Harvey, Oasis, The Libertines, Mumford & Sons and many, many more have performed at the venue across the years. Following a recent refurbishment, today Borderline continues to hum and buzz every night of the week with exciting new and established musicians. With a 4am finish Thursday-Saturday, the venue is also a popular club destination for Soho's revellers. Today The Borderline continues to showcase old favourites and cutting edge new artists with anupgraded sound system, re-vamped décor and expanded drinks menu.;-;-;http://borderline.london/;no; ; ; ;-;-;004g090917;
26;P;51,483232;-0,1777425;Former Sex Store;Vivienne Westwood World's End;430 King's Rd;SW10 0LJ;London;United Kingdom;Discover the former location for Malcolm McLaren and Vivienne Westwood's Sex Store between 1974 and 1976  at number 430, where Sid Vicious, Chrissy Hynde and Glen Matlock all worked as shop assistants. It specialized in clothing that defined the look of the punk movement. In late 1980, the shop at 430 King's Road re-opened under the name World's End. World's End remains open as part of Vivienne Westwood's global fashion empire.;4;-;http://worldsendshop.co.uk/;no;Sex Pistols; ; ;-;-;005g090917;
27;W;51,489829;-0,162793;The Rolling Stones' Chelsea Drugstore;Chelsea Drugstore;49 King's Rd;SW3 4ND;London;United Kingdom;"The Chelsea Drugstore was a sleek modern travertine and brushed steel building on the corner of Royal Avenue and Kings Road, Chelsea. The store is notably mentioned in The Rolling Stones song ""You Can't Always Get What You Want"", where Mick Jagger sings of meeting ""Mr Jimmy"". “I went down to the Chelsea drugstore / To get your prescription filled / I was standing in line with Mr. Jimmy / And man, did he look pretty ill /  We decided that we would have a soda / My favorite flavour, cherry red”. Chelsea Drugstore is also the title of a 2012 EP by UK band The Jetsonics. It became a wine bar, and is now a McDonald's.";2;-;https://en.wikipedia.org/wiki/Chelsea_Drugstore;no;The Rolling Stones, The Jetsonics;You Can't Always Get What You Want; ;-;-;006g090917;
28;P;51,480513;-0,180748;The Rolling Stone's first London home;102 Edith Grove;102 Edith Grove;SW10 0NH;London;United Kingdom;In 1962, Brian Jones moved into West London with Mick Jagger, Keith Richards and James Phelge. The address was 102 Edith Grove and like many young men in bands their home was an absolute mess with clothes, dirty dishes and old fag ends and empty beer bottles everywhere!;2;-;-;no;The Rolling Stones; ; ;-;-;007g090917;
29;V;51,513464;-0,131481;Ronnie Scott's;Ronnie Scott's Jazz Club;47 Frith St;W1D 4HT;London;United Kingdom;Since 1959, Ronnie Scott's Jazz Club has been a symbol of London and the home of British jazz. It is one of the most respected jazz clubs in the world and some of the greatest names in music have performed on the historic stage - from Stan Getz, Buddy Rich and Donald Byrd to Ella Fitzgerald, Miles Davis and Art Blakey.;-;-;https://www.ronniescotts.co.uk/;no;V.A.; ; ;-;-;008g090917;
30;W;51,495594;-0,141816;"Ian Dury Album Cover ""New Boots and Panties!!""";306 Vauxhall Bridge Road;306 Vauxhall Bridge Road;SW1V;London;United Kingdom;-;-;-;-;no;Ian Dury;New Boots And Panties!!; ;-;-;006g120817;
31;V;51,500213;-0,178524;Queen first London performance;Imperial College;Prince Consort Rd;SW7 2BB;London;United Kingdom;The rock band Queen were formed when Brian May placed an advert on the noticeboard in the Union looking for a Mitch Mitchell/Ginger Baker type drummer. Roger Taylor responded leading to Queen performing one of their first gigs in the Union Concert Hall. Last year the Performing Rights Society honoured Queen with a special plaque which can be seen by the entrance to Beit Quadrangle.;-;-;-;no;Queen;       ; ;-;-;007g120817;
32;P;51,495488;-0,185495;John Lennon's Knightsbridge flat;13 Emperor's Gate;13 Emperor's Gate;SW7 4RT;London;United Kingdom;From November 1963 until July 1964, under the family pseudonym 'Hadley', John, Cynthia and Julian lived here, in Flat 3 on the top fourth floor. The 3 bedroomed maisonette was secured for them by photographer Robert Freeman who lived in Flat 2 on the floor below. In spite of the pseudonym the address soon became known among fans, many of whom would gather, daily and nightly, outside the front entrance. With Beatlemania now well and truly out of his control, John and his family were forced to flee London for the relative sanity of Weybridge, Surrey. An entire block of houses in Emperors Gate, including number 13, was demolished in the early 1980's to make way for an office block completed in 1989. “We have a flat [in Earls Court] but you should see the outside of the house. It's been scrawled on by people with messages that can't be removed. They're engraved. I know you expect people to find out where we're living, but it's a strange thing to want to do, unless they are really young kids. It's rather hard.” - Cynthia Lennon (1964);1;-;-;no;The Beatles, John Lennon;       ; ;-;-;008g120817;
33;W;51,48412;-0,160972;Richard Thompson's Hand of Kindness album cover;Chelsea Embarkment;Chelsea Embarkment;SW3 ;London;United Kingdom;Hand of Kindness is Richard's second solo album, defined as 'the roistering accordion of John Kirkpatrick'. The album's cover photo features Thompson between the Battersea Bridge and The Albert Bridge, holding an acoustic guitar made for him by American luthier Danny Ferrington. The same guitar appears on the cover of Thompson's next release, Small Town Romance.;-;-;-;no;Richard Thompson;    ;       ;-;-;009g120817;
34;P;51,484274;-0,164249;Keith Richards' Chelsea home;Keith Richard's former home;3 Cheyne Walk;SW3 4HH;London;United Kingdom;Keith Richards lived here with Anita Pallenberg from August 1969, this former home of Tory government minister Anthony Nutting was where Keith and Anita had their new born son Marlon. The house was just a hundred yards away from another house on Cheyne Walk that was occupied by Mick Jagger and Marianne Faithfull, at number 48. It was hoped that Keith living so near to Mick would help facilitate their song writing.;2;-;-;no;The Rolling Stones;       ; ;-;-;010g120817;
35;W;51,480223;-0,13974;Pink Floyd - Animals cover;Battersea Power Station;188 Kirling St;SW8 5BN;London;United Kingdom;-;-;-;https://www.theguardian.com/business/2017/may/13/inside-the-new-battersea-power-station;no;Pink Floyd;       ; ;-;-;011g120817;
36;W;51,53164;-0,124423;Harry Potter OST;King's Cross Railway Station;Euston Road;N1 9AL;London;United Kingdom;-;-;-;https://en.wikipedia.org/wiki/Music_of_the_Harry_Potter_films;no;John Williams;       ; ;-;-;003s120817;
37;P;51,544977;-1116053;Pentonville Prison;HM Prison Pentonville;Caledonian Road;N7 8TT;London;United Kingdom;Hugh Cornwell of The Stranglers spent 3 months here after being sentenced in 1980 of possession of heroin, cocaine and cannabis. Also Boy George, George Michael and Pete Doherty of The Libertines and Babyshambles spent some of their time here.;-;-;-;no;V.A., The Stranglers;       ; ;-;-;004s120817;
38;V;51,515514;-0,208904;Island Studios;Sarm Studios 105 Ladbroke Grove;105 Ladbroke Grove;W11 1PG;London;United Kingdom;"Sarm Studios, also known as Island Studios, is a recording studio extensively used by Led Zeppelin in the early '70s, probably most famous as the location where ""Stairway To Heaven"" was (mostly) recorded and mixed. One day it might be Led Zeppelin or David Bowie, the next day Mud or Cat Stevens. On 20 February 1973, Producer Phill Brown was recording Bob Marley & the Wailers' album “Burnin'”. When the Wailers' bassist, Aston ""Family Man"" Barrett, offered him a massive cone joint of pure cannabis, Brown naturally accepted. He remembers the moment he set fire to one of Bob Marley's most famous songs as if it were yesterday. Marley also lived for a year in an upstairs apartment at SARM, and his personal chef cooked at SARM for most of the 1980s. Queen booked the studios in summer 1977 and recorded part of their album “News of the World” there, including the hit ""We Are the Champions"". Queen had previously used the studio to record sections of ""Bohemian Rhapsody"" and ""The Prophet's Song"" at the studios in 1975, and to record the video for ""Somebody to Love"" a year later. The cathedral organ on George Michael's album “Faith” (1987) was played there. Also, in November 1984, Studio 1 was the venue for the recording of ""Do They Know It's Christmas"" by the members of Band Aid. The studios are currently owned by SPZ Group, a holding company that belongs to Trevor Horn, ""The Man Who Invented the Eighties"".";-;-;http://en.wikipedia.org/wiki/Island_Studios;no;V.A.;    ;       ;-;-;012g120817;
39;W;51,565941;-0.134935;Archway Tavern;The Kinks “Muswell Hillbillies” cover art ;7 Archway Rd;N19 3TX;London;United Kingdom;"Muswell Hillbillies” is an album by British band The Kinks, named after the area of North London where band leader Ray Davies and guitarist Dave Davies grew up and the band formed in the early Sixties. The front cover picture was taken in the Archway Tavern, a pub in Archway (more than two miles away from Muswell Hill), in Upper Holloway, north London. The pub's still there, although the interior has changed.;-;https://en.wikipedia.org/wiki/Muswell_Hillbilly;no;The Kinks;Muswell Hillbillies;   ;001g150917
40;L;51,590219;-0.134935;Muswell Hill;Muswell Hillbilly;Muswell Hill;N10;London;United Kingdom;The lyrics of the track Muswell Hillbilly"" are about a boy forced from his London home and into Muswell Hill, a sterilized suburban community. He says his farewells to his friends, including Rosie Rooke, who ""wore her Sunday hat so she'd impress [the sboy.]"" The singer says that ""they're gonna try and make [him] change [his] way of living, but they'll never make [him] something that [he's] not,"" likely referring to the government. He goes on to say, ""I'm a Muswell Hillbilly boy, but my heart lies in old West Virginia. Never seen New Orleans, Oklahoma, Tennessee, [but I] still I dream of the Black Hills that I ain't never seen."" He explains that ""they're putting us in little boxes, No character, just uniformity. They're trying to build a computerised community,"" but vows that ""they'll never make a zombie out of me."". Muswell Hill is the suburb of London, about 9km north of the City of London, where The Kinks leader Ray and Dave Davies grew up.";-;-;https://en.wikipedia.org/wiki/Muswell_Hillbilly;no;The Kinks;Muswell Hillbillies;   ;-;-;002g150917;
41;P;51,526979;-0.164271;Yoko Ono's former home;1967-1968 ;25 Hanover Gate Mansions, Park Road;NW1;London;United Kingdom;Yoko Ono came to live here in January 1967 with her husband Tony Cox and their daughter Kyoko (born 8th August 1963). John had been introduced to Yoko by John Dunbar on 7th November 1966 at the Indica Gallery. As relationships gradually changed, John would become a regular visitor to Hanover Gate. One evening in May 1968 (probably Friday 3rd), with Cynthia away in Greece and Tony Cox in France, John privately entertained Yoko at 'Kenwood' by recording what would become their Two Virgins album in John's upstairs music studio, a room that was equipped with several tape recorders, an organ, a piano, a Mellotron and various guitars. Cynthia returned on Sunday 5th May to find the two of them sat together in the 'Morning room'. On the 10th December 1968, 'Kenwood' was put up for sale following John and Cynthia's decree nisi on the 8th November. Yoko moved out of Hanover Gate soon after the night of Two Virgins.;-;-;https://www.beatlesbible.com/1966/11/07/john-lennon-meets-yoko-ono/;no;The Beatles, Yoko Ono;   ;   ;-;-;003g150917;
42;P;51,512559;-0.206952;Samarkand Hotel;Jimi Hendrix death site;22 Lansdowne Crescent;W11 2NS;London;United Kingdom;"18th September 1970. For some days, Jimi Hendrix had been sick, due in part to a chronic lack of sleep and an influenza. He spent much of his last day with Monika Dannemann. During the morning of the sad day, the girl found him unresponsive in her apartment at the Samarkand Hotel, 22 Lansdowne Crescent, Notting Hill. She called for an ambulance at 11:18 a.m., and the guitar player was taken to St Mary Abbot's Hospital. Jimi was pronounced dead on arrival at the hospital, at the age of 27 after choking on his own vomit. Hendrix left the message 'I need help bad man', on his managers answer phone earlier that night. Rumors and conspiracy theories grew up around Hendrix’s death. Eric Burdon claimed Jimi had committed suicide, but that's contradicted by reports that he was in a good frame of mind. In 2009, former Hendrix and Animals roadie James ""Tappy"" Wright published a book claiming that Jimi’s manager had admitted to him that he arranged the murder of Hendrix, since the guitarist wanted out of his contract.";-;-;https://en.wikipedia.org/wiki/Death_of_Jimi_Hendrix;no;Jimi Hendrix ;   ;   ;-;-;013g120817;
43;P;51,506317;-0.201745;Dusty Springfield's house;38 Aubrey Walk;38 Aubrey Walk;W8;London;United Kingdom;As the commemorative plaque says, singer Dusty Springfield lived here from 1968 to 1972.;-;-;https://en.wikipedia.org/wiki/Dusty_Springfield;no;Dusty Springfield;   ;   ;-;-;014g120817;
44;P;51,499746;-0.197921;Sticky Fingers restaurant;Restaurant owned by Bill Wyman (RS);1 Phillimore Gardens;W8 7QB;London;United Kingdom;Here's Bill Wyman's rock-themed American food joint, most popular with tourists and The Rolling Stones fans. It was aptly named in tune to the infamous album released by the band and is the concept of Bill Wyman’s idea of what he most enjoys of a restaurant… a haven of good food and good times.;-;-;http://www.stickyfingers.co.uk/;no;The Rolling Stones, Bill Wyman;   ;   ;-;-;015g120817;
45;P;51,545159;0.13068;Amy' Winehouse's place;Home and deathplace of the iconic singer;30 Camden Square;NW1 9XA;London;United Kingdom;"Amy lived here 4 months in her 3 bedroom-apartment before dying on 23rd July 2011. She has been found with no pulse at her house by her bodyguard. At 3:54 p.m. BST on 23 July 2011, two ambulances were called to Winehouse's home in Camden. Winehouse was pronounced dead at the scene. Shortly afterwards, the Metropolitan Police confirmed that she had died. A coroner's inquest reached a verdict of misadventure. The report released on 26 October 2011 explained that Winehouse's blood alcohol content was at the time of her death more than five times the legal drink-drive limit. Always according to the coroner, ""The unintended consequences of such potentially fatal levels was her sudden death."" After her decease, the singer broke her second Guinness World Record: for the most songs by a woman to simultaneously appear on the UK singles chart, with eight.";-;-;https://en.wikipedia.org/wiki/Amy_Winehouse#Death;no;Amy Winehouse;   ;   ;-;-;004s120817;
46;P;51,494457;-0.198455;Freddie Mercury's house;Garden Lodge;1 Logan Place;W8 6QN;London;United Kingdom;Garden Lodge, 1 Logan Place is the most visited Freddie monument. That’s because he lived in this high walled house here for many years since 1985 and also sadly passed away here. The singer left the home and much of his estate to his former lover and best friend Mary Austin, wanting to secure a place for her and her sons. Today, Mary resides here with her family. In the beginning, Garden Lodge was host to parties and late night recording sessions in the attached studio. Then, as Mercury’s health deteriorated he retreated from the public eye. After his death, he was cremated and his ashes were interred in a secret location that Mary Austin states she will never disclose. Without a gravesite at which to pay their respects, fans flocked to 1 Logan Place to mourn.;-;-;https://en.wikipedia.org/wiki/Freddie_Mercury#Illness_and_death;no;Queen, Freddie Mercury;   ;   ;-;-;001g210917;
47;P;51,453998;-0.410195;Freddie Mercury's first London home;22 Gladstone avenue;22 Gladstone avenue;TW14 9LL;London;United Kingdom;22 Gladstone Avenue on Hounslow Road in Feltham was Freddie Mercury’s first home in London. He lived here till 1970 with his parents after arriving from Zanzibar. It is just a 10 minutes walk away from Feltham Railway station. This is in the London Borough of Hounslow in Travelcard Zone 6.;-;-;https://en.wikipedia.org/wiki/Freddie_Mercury#Early_life;no;Queen, Freddie Mercury;   ;   ;-;-;002g210917;
48;R;51,549;-0.091;Pathway Studios;Glorious recording studio;2a Grosvenor avenue;N5 2NR;London;United Kingdom;"Pathway was a North London studio founded by producers Peter Ker and Mike Finesilver. It was very small, about 8 x 8 metres with a 2 x 2m control booth in the corner and an upright piano next to it. Among the well-known artists who made their early recordings with producer Nick Lowe are The Damned, Madness, Elvis Costello and The Police. At the studio, Dire Straits recorded the demo and single versions of ""Sultans of Swing"".";-;-;https://en.wikipedia.org/wiki/Pathway_Studios;no;Dire Straits, Mark Knopfler;    ;    ;-;-;005s120817;
